title,subtitle,authors,categories,thumbnail,description,published_year,average_rating,num_pages,ratings_count
The Dead Beat,"Lost Souls, Lucky Stiffs, and the Perverse Pleasures of Obituaries",Marilyn Johnson,Social Science,http://books.google.com/books/content?id=b03jlgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Marilyn Johnson was enthralled by the remarkable lives that were marching out of this world?봲o she sought out the best obits in the English language and the people who spent their lives writing about the dead. She surveyed the darkest corners of Internet chat rooms, and made a pilgrimage to London to savor the most caustic and literate obits of all. Now she leads us on a compelling journey into the cult and culture behind the obituary page and the unusual lives we don't quite appreciate until they're gone.",2007,3.41,272,1106
Charms for the Easy Life,,Kaye Gibbons,Fiction,http://books.google.com/books/content?id=TE2mBDsQyvkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A family without men, the Birches live gloriously offbeat lives in the lush, green backwoods of North Carolina. Radiant, headstrong Sophia and her shy, brilliant daughter, Margaret, possess powerful charms to ward off loneliness, despair, and the human misery that often beats a path to their door. And they are protected by the eccentric wisdom and muscular love of the remarkable matriarch Charlie Kate, a solid, uncompromising, self-taught healer who treats everything from boils to broken bones to broken hearts. Sophia, Margaret, and Charlie Kate find strength in a time when women almost always depended on men, and their bond deepens as each one experiences love and loss during World War II. Charms for the Easy Life is a passionate, luminous, and exhilarating story about embracing what life has to offer ... even if it means finding it in unconventional ways. This P.S. edition features an extra 16 pages of insights into the book, including author interviews, recommended reading, and more.",2005,4.02,272,10983
The Reading Group,A Novel,Elizabeth Noble,Fiction,http://books.google.com/books/content?id=IagWjwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The Reading Group follows the trials and tribulations of a group of women who meet regularly to read and discuss books.Over the course of a year, each of these women become intertwined, both in the books they read and within each other's lives. Inspired by a shared desire for conversation, a good book and a glass of wine-Clare, Harriet, Nicole, Polly, and Susan undergo startling revelations and transformations despite their differences in background, age and respective dilemmas. What starts as a reading group gradually evolves into a forum where the women may express their views through the books they read and grow to become increasingly more open as the bonds of friendship cement. In The Reading Group, Noble reveals the many complicated paths in life we all face as well as the power and importance of friendship. This P.S. edition features an extra 16 pages of insights into the book, including author interviews, recommended reading, and more.",2005,3.34,429,6408
A Couple of April Fools,,Gregory Maguire,Juvenile Fiction,http://books.google.com/books/content?id=qW4cvgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"At a Vermont elementary school, April Fools' Day takes on a sinister tone when a teacher goes missing and several suspects emerge, among them the teacher's fiance and a missing mutant chick.",2005,3.5,240,3
What Christians Believe,,C. S. Lewis,Religion,http://books.google.com/books/content?id=81T46KixNg8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The Essentials Explained Master storyteller and essayist C. S. Lewis here tackles the central questions of the Christian faith: Who was Jesus? What did he accomplish? What does it mean for me? In these classic essays, which began as talks on the BBC during World War II, Lewis creatively and simply explains the basic tenets of Christianity. Taken from the core section of Mere Christianity, the selection in this gift edition provides an accessible way for more people to discover these timeless truths. For those looking to remind themselves of the things they hold true, or those looking for a snapshot of Christianity, this book is a wonderful introduction to the faith.",2005,4.2,98,517
Psyche in a Dress,,Francesca Lia Block,Juvenile Fiction,http://books.google.com/books/content?id=NYE3GwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"But this is what I could not give up: I could not give up myself Psyche has known Love?봲cented with jasmine and tasting of fresh oranges. Yet he is fleeting and fragile, lost to her too quickly. Punished by self-doubt, Psyche yearns to be transformed, like the beautiful and brutal figures in the myths her lover once spoke of. Attempting to uncover beauty in the darkness, she is challenged, tested, and changed by the gods and demons who tempt her. Her faith must be found again, for if she is to love, she must never look back.",2006,3.84,116,2414
YOU: The Owner's Manual,An Insider's Guide to the Body that Will Make You Healthier and Younger,Michael F Roizen;Mehmet C Oz,Health & Fitness,http://books.google.com/books/content?id=WMtZ29Fjx2MC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Outlines steps to achieving overall physical health, addressing each area of the body in a series of chapters designed to challenge popular myths while informing readers on a range of dietary, exercise, and therapeutic concerns.",2005,3.82,417,3099
The Chronicles of Narnia Movie Tie-in Edition (adult),,C. S. Lewis,Fiction,http://books.google.com/books/content?id=4qVxvQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"When Digory and Polly try to return the wicked witch Jadis to her own world, the magic gets mixed up and they all land in Narnia where they witness Aslan blessing the animals with human speech.",2005,4.26,766,1099
"The Lion, the Witch and the Wardrobe Movie Tie-in Edition (rack)",,C. S. Lewis,Juvenile Fiction,http://books.google.com/books/content?id=u95ZvAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"They open a door and enter a world Narnia ... a land frozen in eternal winter ... a country waiting to be set free. Four adventurers step through a wardrobe door and into the land of Narnia -- a land enslaved by the power of the White Witch. But when almost all hope is lost, the return of the Great Lion, Aslan, signals a great change ... and a great sacrifice.",2005,4.21,189,615
"The Nightmare Room, Books 1-2-3: The Nightmare Begins!",,R.L. Stine,Juvenile Fiction,http://books.google.com/books/content?id=R_LRInz7X1QC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Presents three stories of teenagers beset by horrible curses and strange powers.,2005,3.89,432,92
A Quick Bite,,Lynsay Sands,Fiction,http://books.google.com/books/content?id=xIJ5TMzPsHYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"That hot guy tied to Lissianna Argeneau's bed? He's not dessert?봦e's the main course! Lissianna has been spending her centuries pining for Mr. Right, not just a quick snack, and this sexy guy she finds in her bed looks like he might be a candidate. But there's another, more pressing issue: her tendency to faint at the sight of blood . . . an especially annoying quirk for a vampire. Of course it doesn't hurt that this man has a delicious-looking neck. What kind of cold-blooded vampire woman could resist a bite of that? Dr. Gregory Hewitt recovers from the shock of waking up in a stranger's bedroom pretty quickly?봮nce he sees a gorgeous woman about to treat him to a wild night of passion. But is it possible for the good doctor to find true love with a vampire vixen, or will he be just a good meal? That's a question Dr. Greg might be willing to sink his teeth into . . . if he can just get Lissianna to bite.",2005,3.91,360,34478
Goodnight Moon 60th Anniversary Edition,,Margaret Wise Brown,Juvenile Fiction,http://books.google.com/books/content?id=lLYOrikgtJoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In a great green room, tucked away in bed, is a little bunny. ""Goodnight room, goodnight moon."" And to all the familiar things in the softly lit room -- to the picture of the three little bears sitting on chairs, to the clocks and his socks, to themittens and the kittens, toeverything one by one -- the little bunny says goodnight. In this classic of children's literature, beloved by generations of readers and listeners, the quiet poetry of the words and the gentle, lulling illustrations combine to make a perfect book for the end of the day.",2005,4.27,32,264013
Brave New World and Brave New World Revisited,,Aldous Huxley,Fiction,http://books.google.com/books/content?id=3h9eNAyQWzAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The astonishing novel Brave New World, originally published in 1932, presents Aldous Huxley's vision of the future -- of a world utterly transformed. Through the most efficient scientific and psychological engineering, people are genetically designed to be passive and therefore consistently useful to the ruling class. This powerful work of speculative fiction sheds a blazing critical light on the present and is considered to be Huxley's most enduring masterpiece. Following Brave New World is the nonfiction work Brave New World Revisited, first published in 1958. It is a fascinating work in which Huxley uses his tremendous knowledge of human relations to compare the modern-day world with the prophetic fantasy envisioned in Brave New World, including threats to humanity, such as overpopulation, propaganda, and chemical persuasion.",2005,4.16,340,123044
The Final Solution,A Story of Detection,Michael Chabon,Fiction,http://books.google.com/books/content?id=xXtptpBIYP8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Retired to the English countryside, an eighty-nine-year-old man, rumored to be a once-famous detective, is more concerned with his beekeeping than with his fellow man. Into his life wanders Linus Steinman, nine years old and mute, who has escaped from Nazi Germany with his sole companion: an African gray parrot. What is the meaning of the mysterious strings of German numbers the bird spews out -- a top-secret SS code? The keys to a series of Swiss bank accounts? Or do they hold a significance both more prosaic and far more sinister? Though the solution may be beyond even the reach of the once-famous sleuth, the true story of the boy and his parrot is subtly revealed in a wrenching resolution.",2005,3.31,131,13455
The Cat's Pajamas,Stories,Ray Bradbury,Fiction,http://books.google.com/books/content?id=Xb6MUmQrUMAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"From the winner of the National Book Foundations' 2000 Medal for Distinguished Contribution to American Letters comes a ""sweet, funny . . . thought?뱎rovoking"" (Milwaukee Journal Sentinel) collection of short stories. As in his most recent major fiction collections, One More for the Road (1999) and Driving Blind (1997), Ray Bradbury has once again pulled together a stellar group of stories sure to delight readers of all ages. In The Cat's Pyjamas we are treated to a treasure trove of Bradbury gems old and new ?볛?eerie and strange, nostalgic and bittersweet, searching and speculative ?볛?all but two of which have never been published before. The Cat's Pyjamas is a joyous celebration of the lifelong work of a literary legend.",2005,3.73,234,1316
Holy Skirts,A Novel of a Flamboyant Woman Who Risked All for Art,Rene Steinke,Fiction,http://books.google.com/books/content?id=BjP7lwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"No one in 1917 New York had ever encountered a woman like the Bar-oness Elsa von Freytag-Loringhoven -- poet, artist, proto-punk rocker, sexual libertine, fashion avatar, and unrepentant troublemaker. When she wasn't stalking the streets of Greenwich Village wearing a brassiere made from tomato cans, she was enthusiastically declaiming her poems to sailors in beer halls or posing nude for Man Ray or Marcel Duchamp. In an era of brutal war, technological innovation, and cataclysmic change, the Baroness had resolved to create her own destiny -- taking the center of the Dadaist circle, breaking every bond of female propriety . . . and transforming herself into a living, breathing work of art.",2005,3.61,384,322
Time For Kids: Butterflies!,,Editors of TIME For Kids,Juvenile Nonfiction,http://books.google.com/books/content?id=OdZxnI53jj4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Butterflies There are 20,000 different kinds of butterflies in the world. Many have brightly colored wings. But butterflies don't start life as beauties. Every butterfly begins as a tiny egg that hatches into a caterpillar. Then an amazing change takes place. The caterpillar turns into a fluttering butterfly!",2006,4,32,20
A False Mirror,An Inspector Ian Rutledge Mystery,Charles Todd,Fiction,http://books.google.com/books/content?id=MMG3b9fo-hYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Summoned to a small harbor town by a former trenchmate falsely accused of assaulting an ex-lover's husband, Scotland Yard inspector Ian Rutledge is reminded of an affair from his own past and investigates a bizarre coincidence.",2007,4.02,384,2354
Cracks in My Foundation,"Bags, Trips, Make-up Tips, Charity, Glory, and the Darker Side of the Story: Essays and Stories by Marian Keyes",Marian Keyes,Fiction,http://books.google.com/books/content?id=cC8-lwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Go further under the covers and stay in bed a little longer with Marian Keyes in this winning follow-up to her smash essay collection, Under the Duvet. Written in the witty, forthright style that has earned her legions of devoted readers, Cracks in My Foundation offers an even deeper and more candid look into this beloved author's mind and heart, exploring such universal themes as friends and family, home, glamour and beauty, children, travel, and more. Marian's hilarious and thoughtful take on life makes her readers feel they are reading a friend, not just an author. Marian continues to entertain with her reports from the trenches, and throws in some original short fiction as well. Whether it's visiting Siberia, breaking it off with an old hairdresser, shopping (of course!), turning forty, living with her beloved husband, Himself (a man beyond description), or musing on the F word (feminism), Marian shares the joys, passions, and sorrows of her world and helps us feel good about our own. So grab a latte and a pillow and get ready to laugh your slippers off!",2005,3.81,368,1569
A Fistful of Charms,,Kim Harrison,Fiction,http://books.google.com/books/content?id=o_jxvQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The evil night things that prowl Cincinnati despise witch and bounty hunter Rachel Morgan. Her new reputation for the dark arts is turning human and undead heads alike with the intent to possess, bed, and kill her -- not necessarily in that order. Now a mortal lover who abandoned Rachel has returned, haunted by his secret past. And there are those who covet what Nick possesses -- savage beasts willing to destroy the Hollows and everyone in it if necessary. Forced to keep a low profile or eternally suffer the wrath of a vengeful demon, Rachel must nevertheless act quickly. For the pack is gathering for the first time in millennia to ravage and to rule. And suddenly more than Rachel's soul is at stake.",2006,4.28,510,46881
For a Few Demons More,,Kim Harrison,Fiction,http://books.google.com/books/content?id=ya3Nq-_dqG8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"When a serial murderer begins killing off members of Hollows society, Rachel Morgan finds herself swept up in a brutal Inderland gang war, a situation that is complicated by her demonic nemesis, and the release of a vampire master.",2007,4.33,456,47314
Mysteries of Pittsburgh,A Novel,Michael Chabon,Fiction,http://books.google.com/books/content?id=wh8B41h8bqQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"By the Pulitzer Prize-winning author of The Amazing Adventures of Kavalier & Clay This P.S. edition features an extra 16 pages of insights into the book, including author interviews, recommended reading, and more.",2005,3.64,320,21338
Everything Is Illuminated tie-in,A Novel,Jonathan Safran Foer,Fiction,http://books.google.com/books/content?id=tsO2vgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"With only a yellowing photograph in hand, a young man -- also named Jonathan Safran Foer -- sets out to find the woman who may or may not have saved his grandfather from the Nazis. Accompanied by an old man haunted by memories of the war; an amorous dog named Sammy Davis, Junior, Junior; and the unforgettable Alex, a young Ukrainian translator who speaks in a sublimely butchered English, Jonathan is led on a quixotic journey over a devastated landscape and into an unexpected past. By turns comic and tragic, but always passionate, wildly inventive, and touched with an indelible humanity, this debut novel is a powerful, deeply felt story of searching: for the past, family, and truth.",2005,3.9,276,1754
Flight of the Nighthawks,Book One of the Darkwar Saga,Raymond E. Feist,Fiction,http://books.google.com/books/content?id=cMRnRK9KE9wC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A new evil threatens Midkemia, its web stretching from the deepest criminal underworld all the way up to the highest seats of power in ancient Kesh. And the Conclave of Shadows, charged unexpectedly with the training of two apprentices, must also best powerful agents of the darkest magic . . . for the fate of two worlds lies in the balance. The New York Times bestselling author and master of fantasy Raymond E. Feist returns to his signature world of Midkemia in this first book in a gripping new trilogy that ushers in the third, and most dramatic, Riftwar yet: the Darkwar. In the middle of the night on Sorcerer's Isle, the powerful sorcerer Pug is awakened from a nightmare that portends destruction for all of Midkemia. Disturbed by the dream, Pug calls for a convening of the Conclave of Shadows. Though Pug does not yet know it, his son Magnus has discovered the cause of Pug's prophetic dream: a beacon has been unleashed, directing a vast army of alien invaders to Midkemia, an army so formidable that even the might of the Tsurani Empire might fall before its fury. Meanwhile, in far Stardock town, two boys are coming of age. But on the dusty path that leads them from home they are thrust by fate into a life undreamed of, becoming enmeshed in intrigue, murder, and treason. Though untrained and unready, they are called upon by the mysterious Conclave to travel deep into the heart of the Empire of Great Kesh, to confront a plot so dark and twisted it will implicate even the highest-ranking nobles of the Empire, even members of the royal family itself. And behind this plot they discover the ancient Brotherhood of Death, the clan of assassins known as the Nighthawks. And Pug will find himself once again facing his old nemesis, the evil wizard formerly known as Sidi, now Leso Varen, in a confrontation with everything at stake: his honor, his life, and the future of Midkemia.",2006,3.95,368,9378
Into a Dark Realm,Book Two of the Darkwar Saga,Raymond E. Feist,Fiction,http://books.google.com/books/content?id=pSzYD55i6nAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Having successfully prevented a civil war within the Empire of Great Kesh, Pug and his allies in the Conclave of Shadows search for the mad sorcerer Leso Varen in the hopes of destroying the Guild of Assassins, an effort that is challenged by the sorcerer's powerful protectors and a planned invasion by the Dasati. By the author of Flight of the Nighthawks. 75,000 first printing.",2007,4,319,8974
The 3-Hour Diet (TM) On the Go (Collins Gem),,Jorge Cruise,Health & Fitness,http://books.google.com/books/content?id=xaefjgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"More Than 600 New Options! Imagine eating your favorite foods every 3 hours to finally get the results you've been searching for. NO calorie-counting, NO carb deprivation, and NO skipping sweets. Based on the revolutionary principles of Time-Based Nutrition?? this pocket guidebook will give you the slimming secrets you need to enjoy fast food, restaurant meals, gas station gourmet, and much more! Visit www.3hourdiet.net for your free personalized weight-loss profile.",2005,3.08,192,30
The Best American Crime Writing 2006,,Mark Bowden;Otto Penzler;Thomas H. Cook,True Crime,http://books.google.com/books/content?id=Ec5HlwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A sterling collection of the year's most shocking, compelling, and gripping writing about real-life crime, the 2006 edition of The Best American Crime Writing offers fascinating vicarious journeys into a world of felons and their felonious acts. This thrilling compendium includes: Jeffrey Toobin's eye-opening expos챕 in The New Yorker about a famous prosecutor who may have put the wrong man on death row Skip Hollandsworth's amazing but true tale of an old cowboy bank robber who turned out to be a ""classic good-hearted Texas woman"" Jimmy Breslin's stellar piece about the end of the Mob as we know it",2006,3.99,352,200
Last of the Wilds,Age of the Five Trilogy,Trudi Canavan,Fiction,http://books.google.com/books/content?id=lkQ-lwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"After pitched battle, The White?봳he avatars of the Five Gods?봦ave briefly turned back the vicious invaders. And now, the priestess Auraya is sent on an urgent mission to reconcile with the powerful, outcast Dreamweavers, for their magical healing abilities may be the key to saving the land. But as a deadly plague devastates their allies and old adversaries resurface, a dreadful surprise may ruin the chance for peace. For Auraya's terrible discovery will force her into a desperate choice?봮ne whose consequences will change the world forever.",2006,4.03,576,9725
Voice of the Gods,Age of the Five Trilogy,Trudi Canavan,Fiction,http://books.google.com/books/content?id=pRDilwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Unable to avoid being drawn into the terrible conflict, Auraya, now protector of the Siyee, fears she will be unable to meet the conditions of the all-powerful gods she once served. And an offer from a mysterious woman may be impossible for Auraya to refuse, but, if revealed, would brand her an enemy of the gods. Now, the immortal Wilds will not be deterred in their quest for powerful, long-buried secrets. But they have deadly adversaries who also seek the world-shattering truth . . . and it may appear in a form that no one anticipates.",2007,4.08,592,9413
Missing Mom,A Novel,Joyce Carol Oates,Fiction,http://books.google.com/books/content?id=kIMxjwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Nikki Eaton, single, thirty-one, sexually liberated, and economically self-supporting, has never particularly thought of herself as a daughter. Yet, following the unexpected loss of her mother, she undergoes a remarkable transformation during a tumultuous year that brings stunning horror, sorrow, illumination, wisdom, and even?봣rom an unexpected source?봞 nurturing love.",2006,3.54,464,3425
"The Collected Letters of C.S. Lewis, Volume 3","Narnia, Cambridge, and Joy, 1950 - 1963",C. S. Lewis,Biography & Autobiography,http://books.google.com/books/content?id=BCc6Aq5JaJoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A final installment of a three-volume series is comprised of personal correspondences as penned during the final part of his life, a time during which he passed his days at Cambridge and wrote the Narnia chronicles.",2004,4.49,1840,140
Touch Not the Cat,,Mary Stewart,Fiction,http://books.google.com/books/content?id=c5ZqvE5bgOIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Bryony Ashley knows that her family's grand estate is both hell and paradise -- once elegant and beautiful, yet mired in debt and shrouded in shadow. Devastated by her father;s sudden strange death abroad, she is nonetheless relieved to learn the responsibility of running Ashley Court has fallen to a cousin. Still, her father's final, dire warning about a terrible family curse haunts her days and her dreams.",2005,3.91,372,4857
King of the Vagabonds,The Baroque Cycle #2,Neal Stephenson,Fiction,http://books.google.com/books/content?id=UT0ENrfxIMsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A chronicle of the breathtaking exploits of ""Half-Cocked Jack"" Shaftoe -- London street urchin-turned-legendary swashbuckling adventurer -- risking life and limb for fortune and love while slowly maddening from the pox. . . and Eliza, rescued by Jack from a Turkish harem to become spy, confidante, and pawn of royals in order to reinvent a contentious continent through the newborn power of finance.",2006,4.16,400,1859
Odalisque,The Baroque Cycle #3,Neal Stephenson,Fiction,http://books.google.com/books/content?id=XLm5PQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,The trials of Dr. Daniel Waterhouse and the Natural Philosophers increase one hundredfold in an England plagued by the impending war and royal insecurities -- as the beautiful and ambitious Eliza plays a most dangerous game as double agent and confidante of enemy kings.,2006,4.2,464,1505
Black Boy,A Record of Childhood and Youth,Richard Wright,Biography & Autobiography,http://books.google.com/books/content?id=orAc3Eok-G8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Traces the author's coming of age in the Jim Crow-era South, a period during which he struggled to survive while journeying from innocence to adulthood.",2005,4.05,432,89
The Sheltering Sky,,Paul Bowles,Fiction,,"The Sheltering Sky is a landmark of twentieth-century literature. In this intensely fascinating story, Paul Bowles examines the ways in which Americans' incomprehension of alien cultures leads to the ultimate destruction of those cultures. A story about three American travelers adrift in the cities and deserts of North Africa after World War II, The Sheltering Sky explores the limits of humanity when it touches the unfathomable emptiness and impassive cruelty of the desert. This P.S. edition features an extra 16 pages of insights into the book, including author interviews, recommended reading, and more.",2005,3.91,313,898
Rat Bastards,The Life and Times of South Boston's Most Honorable Irish Mobster,John Shea,Biography & Autobiography,http://books.google.com/books/content?id=YggEjFQfDisC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"You've met the Italian mob in The Godfather, now welcome to the real-life world of Irish America's own murderous clan of organized crime The man who has remained silent for more than a decade finally speaks, revealing the gritty true story of his life inside the infamous South Boston Irish mob led by the elusive, Machiavellian kingpin Whitey Bulger, who to this day remains on the lam as one of the world's Ten Most Wanted criminals, second only to Osama bin Laden. John ""Red"" Shea was a top lieutenant in the South Boston Irish mob, rising to this position at the age of twenty-one. Thus began his tutelage under the notorious Irish godfather James ""Whitey"" Bulger. An ice-cold enforcer with a legendary red-hot temper, Shea was a legend among his Southie peers in the 1980s. From the first delivery truck he robbed at thirteen to the start of his twelve-year federal sentence for drug trafficking at twenty-seven, Shea was a portrait in American crime -- a terror, brutal and ruthlessly ambitious. Drug dealer, loan shark, money launderer, and multimillion-dollar narcotics kingpin, Shea was at the pinnacle of power -- until the feds came knocking and eventually obliterated the legendary mob in a well-orchestrated sweep of arrests, fueled by insider tips to the FBI and DEA. While Bulger's other top men turned informant to save their own hides, Shea alone kept his code of honor and his mouth shut -- loyalty that earned him a dozen years of hard time even as the man he was protecting turned out to be, himself, a rat. For in the end, in a remarkable show of betrayal, Bulger turned out to be the FBI's ""main man"" and top informant -- tipping off the feds for decades while still managing to operate one of the most murderous and profitable organized crime outfits of all time. In Rat Bastards, Shea brings that mysterious world and gritty urban Irish American street culture into sharp focus by telling his own story -- of his fatherless upbringing, his apprenticeship on the tough streets of Southie, and his love affair with trouble, boxing, and then the gangster life. In prose that is refreshingly honest, personal, and surprisingly tender, Shea tells his harrowing, unflinching, and unapologetic story. A man who did the crime, did the time, and held fast to the Irish code of silence, which he was raised to follow at any cost, Shea remains a man of honor and in doing so has become a living legend. One of the last of a dying breed, a true stand-up guy. Shea expects no forgiveness and makes no excuses for the life he chose. His story is intense, compelling, and in your face.",2006,3.51,304,34
The Last Days of Henry VIII,"Conspiracies, Treason and Heresy at the Court of the Dying Tyrant",Robert Hutchinson,Biography & Autobiography,http://books.google.com/books/content?id=acCmQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A blazing narrative history that boldly captures the end of England's most despotic ruler and his court -- a time of murderous conspiracies, terrifying betrayals, and sordid intrigue Henry VIII's crimes against his wives are well documented and have become historical lore. But much less attention has been paid to his monarchy, especially the closing years of his reign. Rich with information including details from new archival material and written with the nail-biting suspense of a modern thriller, The Last Days of Henry VIII offers a superb fresh look at this fascinating figure and new insight into an intriguing chapter in history. Robert Hutchinson paints a brilliant portrait of this egotistical tyrant who governed with a ruthlessness that rivals that of modern dictators; a monarch who had ""no respect or fear of anyone in this world,"" according to the Spanish ambassador to his court. Henry VIII pioneered the modern ""show trial"": cynical propaganda exercises in which the victims were condemned before the proceedings even opened, proving the most powerful men in the land could be brought down overnight. After thirty-five years in power, Henry was a bloated, hideously obese, black-humored old recluse. And despite his having had six wives, the Tudor dynasty rested on the slight shoulders of his only male heir, the nine-year-old Prince Edward -- a situation that spurred rival factions into a deadly conflict to control the throne. The Last Days of Henry VIII is a gripping and compelling history as fascinating and remarkable as its subject.",2005,4.14,368,1460
The Thorn Birds,,Colleen McCullough,Fiction,http://books.google.com/books/content?id=mtBZngEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A saga of three generations of the indomitable Cleary family begins in the early 1900s when Paddy Cleary, a poor New Zealand farm laborer, moves his wife and children to the Australian sheep station owned by his wealthy sister, in a new edition of the classic novel of forbidden love between young Meggie Cleary and Father Ralph de Bricassart. Reprint. 15,000 first printing.",2005,4.23,673,516
Krakatoa,"The Day the World Exploded: August 27, 1883",Simon Winchester,History,http://books.google.com/books/content?id=U4wywQfl5s4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Simon Winchester, New York Times bestselling author of The Professor and the Madman, examines the legendary annihilation in 1883 of the volcano-island of Krakatoa, which was followed by an immense tsunami that killed nearly forty thousand people. The effects of the immense waves were felt as far away as France. Barometers in Bogot찼 and Washington, D.C., went haywire. Bodies were washed up in Zanzibar. The sound of the island's destruction was heard in Australia and India and on islands thousands of miles away. Most significant of all -- in view of today's new political climate -- the eruption helped to trigger in Java a wave of murderous anti-Western militancy among fundamentalist Muslims, one of the first outbreaks of Islamic-inspired killings anywhere. Krakatoa gives us an entirely new perspective on this fascinating and iconic event. This P.S. edition features an extra 16 pages of insights into the book, including author interviews, recommended reading, and more.",2005,3.87,464,14491
The Professor and the Madman,"A Tale of Murder, Insanity, and the Making of the Oxford English Dictionary",Simon Winchester,Biography & Autobiography,http://books.google.com/books/content?id=D4KblwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The Professor and the Madman, masterfully researched and eloquently written, is an extraordinary tale of madness, genius, and the incredible obsessions of two remarkable men that led to the making of the Oxford English Dictionary -- and literary history. The compilation of the OED began in 1857, it was one of the most ambitious projects ever undertaken. As definitions were collected, the overseeing committee, led by Professor James Murray, discovered that one man, Dr. W. C. Minor, had submitted more than ten thousand. When the committee insisted on honoring him, a shocking truth came to light: Dr. Minor, an American Civil War veteran, was also an inmate at an asylum for the criminally insane. This P.S. edition features an extra 16 pages of insights into the book, including author interviews, recommended reading, and more.",2005,3.84,242,81384
Hit Parade,,Lawrence Block,Fiction,http://books.google.com/books/content?id=KYR8gZgkECoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Introspective professional assassin John Keller, the anti-hero of Hit Man and Hit List, continues to ponder his life, the ethics of his lethal career, and his possible retirement as he returns in an all-new mystery adventure. 100,000 first printing.",2006,3.86,295,99
The Curtain,An Essay in Seven Parts,Milan Kundera,Literary Collections,http://books.google.com/books/content?id=JCDXPxiayrwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Traces the author's personal view of the history and significance of the novel in western civilization, arguing that a novel's development crosses international and language boundaries while serving to reveal previously unknown aspects of a reader's existence. By the author of The Art of the Novel. 35,000 first printing.",2006,3.96,176,1351
"A Hard Day's Write, 3e",The Stories Behind Every Beatles Song,Steve Turner,Music,http://books.google.com/books/content?id=cvp-QQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A lavishly illustrated, rollicking account of the real people and events that inspired the Beatles' lyrics. Who was ""just seventeen"" and made Paul's heart go ""boom""? Was there really an Eleanor Rigby? Where's Penny Lane? In A Hard Day's Write, music journalist Steve Turner shatters many well-worn myths and adds a new dimension to the Fab Four's rich legacy by investigating for the first time the ordinary people and events immortalized in the Beatles' music and now occupying a special niche in popular culture's collective imagination. Arranged chronologically by album, the book breaks new ground by exploring how private incidents influenced the group's writing and how their music evolved. Turner reveals that Lucy in the Sky with Diamonds was really a drawing by Julian Lennon of his childhood friend; Bungalow Bill was an all-American tiger hunter; Doctor Robert was a New York 'speech doctor'; and much more. A longtime Beatles admirer, Turner tracked down and interviewed the real-life subjects of the songs, probed public records and newspaper archives, and spoke in depth to the people closet to the Beatles to unearth tales that have never before been made public. The result is a book that chronicles an untold story of the Beatles themselves. Illustrated with over 200 photographs, A Hard Day's Write is a visually alluring and highly entertaining journey to the land stretching just beneath your conscious mind, mapped out with strawberry fields, fool-topped hills, and long and winding roads.",2005,4.18,224,152
